Label,TractName,Voxels,Volume_mm3,Volume_cm3,Total_Tract_Voxels,Overlap_Percent,Max_Z,COG_X,COG_Y,COG_Z
1,"Anterior thalamic radiation L",128,1024.000000,1.0240,7239,1.7600,7.381425,50.835938,40.695312,15.328125
2,"Anterior thalamic radiation R",105,840.000000,.8400,6661,1.5700,5.515697,41.780952,40.171429,13.780952
3,"Corticospinal tract L",669,5352.000000,5.3520,5555,12.0400,7.433486,57.043348,40.122571,24.405082
4,"Corticospinal tract R",344,2752.000000,2.7520,5672,6.0600,5.768390,34.104651,37.162791,15.177326
5,"Cingulum (cingulate gyrus) L",15,120.000000,.1200,4006,.3700,3.698190,49.000000,59.733333,50.666667
6,"Cingulum (cingulate gyrus) R",0,0.000000,0,2928,0,0.000000,0.000000,0.000000,0.000000
7,"Cingulum (hippocampus) L",0,0.000000,0,1437,0,0.000000,0.000000,0.000000,0.000000
8,"Cingulum (hippocampus) R",0,0.000000,0,1431,0,0.000000,0.000000,0.000000,0.000000
9,"Forceps major",36,288.000000,.2880,7112,.5000,3.702282,47.722222,39.583333,44.805556
10,"Forceps minor",1,8.000000,.0080,8237,.0100,3.505342,45.000000,72.000000,45.000000
11,"Inferior fronto-occipital fasciculus L",37,296.000000,.2960,5403,.6800,4.688884,50.324324,21.108108,29.027027
12,"Inferior fronto-occipital fasciculus R",6,48.000000,.0480,7356,.0800,3.663088,35.333333,32.333333,54.833333
13,"Inferior longitudinal fasciculus L",18,144.000000,.1440,7116,.2500,4.016039,62.500000,39.222222,41.444444
14,"Inferior longitudinal fasciculus R",1,8.000000,.0080,6151,.0100,3.509577,35.000000,32.000000,54.000000
15,"Superior longitudinal fasciculus L",38,304.000000,.3040,15127,.2500,4.157224,58.973684,50.421053,55.315789
16,"Superior longitudinal fasciculus R",0,0.000000,0,14214,0,0.000000,0.000000,0.000000,0.000000
17,"Uncinate fasciculus L",0,0.000000,0,1334,0,0.000000,0.000000,0.000000,0.000000
18,"Uncinate fasciculus R",14,112.000000,.1120,1401,.9900,5.462404,28.285714,76.571429,18.428571
19,"SLF (temporal part) L",0,0.000000,0,252,0,0.000000,0.000000,0.000000,0.000000
20,"SLF (temporal part) R",0,0.000000,0,486,0,0.000000,0.000000,0.000000,0.000000
